Competência CNES;Região;UF;Estado;Região de Saúde;Municipio;Cod_mun;População;Qt. eAP financiada;Qt. eSF financiada;Qt. Cadastros eAP financiadas;Qt. Cadastros eSF financiadas;Qt. Total de Cadastros (lim.pop.IBGE);Cobertura APS;Cobertura_APS_porcent
DEC/2023;NORTE;RO;RONDONIA;ALTA FLORESTA D'OESTE;110001;;22516;0;5;0;18188;18188;80,77%;80,77
DEC/2023;NORTE;RO;RONDONIA;ARIQUEMES;110002;;111148;0;19;0;92315;92315;83,05%;83,05
DEC/2023;NORTE;RO;RONDONIA;CABIXI;110003;;5067;0;2;0;6216;6216;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;CACOAL;110004;;86416;0;19;0;82457;82457;95,41%;95,41
DEC/2023;NORTE;RO;RONDONIA;CEREJEIRAS;110005;;16088;0;6;0;19854;19854;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;COLORADO DO OESTE;110006;;15213;0;5;0;18150;18150;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;CORUMBIARA;110007;;7052;0;3;0;8596;8596;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;COSTA MARQUES;110008;;19255;0;4;0;11162;11162;57,96%;57,96
DEC/2023;NORTE;RO;RONDONIA;ESPIGÃO D'OESTE;110009;;33009;0;7;0;28309;28309;85,76%;85,76
DEC/2023;NORTE;RO;RONDONIA;GUAJARÁ-MIRIM;110010;;46930;0;13;0;39479;39479;84,12%;84,12
DEC/2023;NORTE;RO;RONDONIA;JARU;110011;;51469;0;17;0;58155;58155;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;JI-PARANÁ;110012;;131026;0;30;0;116721;116721;89,08%;89,08
DEC/2023;NORTE;RO;RONDONIA;MACHADINHO D'OESTE;110013;;41724;0;8;0;29973;29973;71,83%;71,83
DEC/2023;NORTE;RO;RONDONIA;NOVA BRASILÂNDIA D'OESTE;110014;;20504;0;5;0;17939;17939;87,49%;87,49
DEC/2023;NORTE;RO;RONDONIA;OURO PRETO DO OESTE;110015;;35445;0;12;0;39844;39844;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;PIMENTA BUENO;110018;;37098;0;10;0;38663;38663;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;PORTO VELHO;110020;;548952;11;73;18176;314806;332982;60,65%;60,65
DEC/2023;NORTE;RO;RONDONIA;PRESIDENTE MÉDICI;110025;;18165;0;7;0;17877;17877;98,41%;98,41
DEC/2023;NORTE;RO;RONDONIA;RIO CRESPO;110026;;3843;0;2;0;4397;4397;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;ROLIM DE MOURA;110028;;55748;0;15;0;60316;60316;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;SANTA LUZIA D'OESTE;110029;;5942;0;4;0;9414;9414;100,00%;100
DEC/2023;NORTE;RO;RONDONIA;VILHENA;110030;;104517;0;21;0;82167;82167;78,61%;78,61
DEC/2023;NORTE;RO;RONDONIA;SÃO MIGUEL DO GUAPORÉ;110032;;23147;0;3;0;16132;16132;69,69%;69,69
DEC/2023;NORTE;RO;RONDONIA;NOVA MAMORÉ;110033;;32184;0;8;0;23464;23464;72,90%;72,9
DEC/2023;NORTE;RO;RONDONIA;ALVORADA D'OESTE;110034;;13807;0;5;0;11928;11928;86,39%;86,39
