"","ibge","week","year","municipality","population","deaths","likely_cases","cases_pcap","deaths_pcap","Years.Range"
"1","130260","01",2014,"130260 MANAUS",2020301,0,17,0.84145877272743,0,"2014/2015"
"2","130260","01",2015,"130260 MANAUS",2057711,0,14,0.680367651239654,0,"2015/2016"
"3","130260","01",2016,"130260 MANAUS",2094391,0,35,1.67113017578857,0,"2016/2017"
"4","130260","01",2017,"130260 MANAUS",2130264,0,50,2.34712692886891,0,"2017/2018"
"5","130260","01",2018,"130260 MANAUS",2145444,0,11,0.512714384528331,0,"2018/2019"
"6","130260","01",2019,"130260 MANAUS",2182763,0,5,0.229067470907286,0,"2019/2020"
"7","130260","01",2020,"130260 MANAUS",2219580,0,8,0.360428549545409,0,"2020/2021"
"8","130260","01",2021,"130260 MANAUS",2255903,0,14,0.620594059230384,0,"2021/2022"
"9","130260","01",2022,"130260 MANAUS",2054731,0,19,0.924695252079226,0,"2022/2023"
"10","130260","01",2023,"130260 MANAUS",2063689,0,10,0.484569138082337,0,"2023/2024"
"11","130260","01",2024,"130260 MANAUS",2279686,0,189,8.29061546195397,0,"2024/2025"
"12","130260","02",2014,"130260 MANAUS",2020301,0,53,2.62337146791493,0,"2014/2015"
"13","130260","02",2015,"130260 MANAUS",2057711,0,25,1.21494223435653,0,"2015/2016"
"14","130260","02",2016,"130260 MANAUS",2094391,0,58,2.76930143416392,0,"2016/2017"
"15","130260","02",2017,"130260 MANAUS",2130264,0,46,2.1593567745594,0,"2017/2018"
"16","130260","02",2018,"130260 MANAUS",2145444,0,12,0.559324783121815,0,"2018/2019"
"17","130260","02",2019,"130260 MANAUS",2182763,0,13,0.595575424358943,0,"2019/2020"
"18","130260","02",2020,"130260 MANAUS",2219580,0,6,0.270321412159057,0,"2020/2021"
"19","130260","02",2021,"130260 MANAUS",2255903,0,40,1.77312588351538,0,"2021/2022"
"20","130260","02",2022,"130260 MANAUS",2054731,0,29,1.41137696369987,0,"2022/2023"
"21","130260","02",2023,"130260 MANAUS",2063689,0,10,0.484569138082337,0,"2023/2024"
"22","130260","02",2024,"130260 MANAUS",2279686,0,265,11.6244079228455,0,"2024/2025"
"23","130260","03",2014,"130260 MANAUS",2020301,0,58,2.87085934224653,0,"2014/2015"
"24","130260","03",2015,"130260 MANAUS",2057711,0,44,2.13829833246748,0,"2015/2016"
"25","130260","03",2016,"130260 MANAUS",2094391,0,79,3.77197953963706,0,"2016/2017"
"26","130260","03",2017,"130260 MANAUS",2130264,0,75,3.52069039330337,0,"2017/2018"
"27","130260","03",2018,"130260 MANAUS",2145444,0,15,0.699155978902269,0,"2018/2019"
"28","130260","03",2019,"130260 MANAUS",2182763,0,13,0.595575424358943,0,"2019/2020"
"29","130260","03",2020,"130260 MANAUS",2219580,0,17,0.765910667783995,0,"2020/2021"
"30","130260","03",2021,"130260 MANAUS",2255903,0,41,1.81745403060327,0,"2021/2022"
"31","130260","03",2022,"130260 MANAUS",2054731,0,16,0.778690738593032,0,"2022/2023"
"32","130260","03",2023,"130260 MANAUS",2063689,0,16,0.775310620931739,0,"2023/2024"
"33","130260","03",2024,"130260 MANAUS",2279686,0,297,13.028110011642,0,"2024/2025"
"34","130260","04",2014,"130260 MANAUS",2020301,0,54,2.67286904278125,0,"2014/2015"
"35","130260","04",2015,"130260 MANAUS",2057711,0,23,1.117746855608,0,"2015/2016"
"36","130260","04",2016,"130260 MANAUS",2094391,0,114,5.44310971542563,0,"2016/2017"
"37","130260","04",2017,"130260 MANAUS",2130264,0,80,3.75540308619026,0,"2017/2018"
"38","130260","04",2018,"130260 MANAUS",2145444,0,13,0.6059351817153,0,"2018/2019"
"39","130260","04",2019,"130260 MANAUS",2182763,0,9,0.412321447633115,0,"2019/2020"
"40","130260","04",2020,"130260 MANAUS",2219580,0,13,0.58569639301129,0,"2020/2021"
"41","130260","04",2021,"130260 MANAUS",2255903,0,52,2.30506364857,0,"2021/2022"
"42","130260","04",2022,"130260 MANAUS",2054731,0,18,0.876027080917161,0,"2022/2023"
"43","130260","04",2023,"130260 MANAUS",2063689,0,5,0.242284569041169,0,"2023/2024"
"44","130260","04",2024,"130260 MANAUS",2279686,0,207,9.08019788690197,0,"2024/2025"
"45","130260","05",2014,"130260 MANAUS",2020301,0,33,1.63341997058854,0,"2014/2015"
"46","130260","05",2015,"130260 MANAUS",2057711,0,43,2.08970064309322,0,"2015/2016"
"47","130260","05",2016,"130260 MANAUS",2094391,0,153,7.30522619701861,0,"2016/2017"
"48","130260","05",2017,"130260 MANAUS",2130264,0,127,5.96170239932703,0,"2017/2018"
"49","130260","05",2018,"130260 MANAUS",2145444,0,5,0.233051992967423,0,"2018/2019"
"50","130260","05",2019,"130260 MANAUS",2182763,0,9,0.412321447633115,0,"2019/2020"
"51","130260","05",2020,"130260 MANAUS",2219580,0,26,1.17139278602258,0,"2020/2021"
"52","130260","05",2021,"130260 MANAUS",2255903,0,67,2.96998585488826,0,"2021/2022"
"53","130260","05",2022,"130260 MANAUS",2054731,0,45,2.1900677022929,0,"2022/2023"
"54","130260","05",2023,"130260 MANAUS",2063689,0,7,0.339198396657636,0,"2023/2024"
"55","130260","05",2024,"130260 MANAUS",2279686,0,124,5.4393455940862,0,"2024/2025"
"56","130260","06",2014,"130260 MANAUS",2020301,0,50,2.47487874331597,0,"2014/2015"
"57","130260","06",2015,"130260 MANAUS",2057711,0,39,1.89530988559618,0,"2015/2016"
"58","130260","06",2016,"130260 MANAUS",2094391,0,93,4.44043160995249,0,"2016/2017"
"59","130260","06",2017,"130260 MANAUS",2130264,0,143,6.71278301656508,0,"2017/2018"
"60","130260","06",2018,"130260 MANAUS",2145444,0,20,0.932207971869692,0,"2018/2019"
"61","130260","06",2019,"130260 MANAUS",2182763,0,18,0.824642895266229,0,"2019/2020"
"62","130260","06",2020,"130260 MANAUS",2219580,0,31,1.39666062948846,0,"2020/2021"
"63","130260","06",2021,"130260 MANAUS",2255903,0,89,3.94520509082172,0,"2021/2022"
"64","130260","06",2022,"130260 MANAUS",2054731,0,35,1.70338599067226,0,"2022/2023"
"65","130260","06",2023,"130260 MANAUS",2063689,0,16,0.775310620931739,0,"2023/2024"
"66","130260","06",2024,"130260 MANAUS",2279686,0,165,7.23783889535664,0,"2024/2025"
"67","130260","07",2014,"130260 MANAUS",2020301,0,44,2.17789329411805,0,"2014/2015"
"68","130260","07",2015,"130260 MANAUS",2057711,0,34,1.65232143872487,0,"2015/2016"
"69","130260","07",2016,"130260 MANAUS",2094391,0,195,9.31058240796489,0,"2016/2017"
"70","130260","07",2017,"130260 MANAUS",2130264,0,105,4.92896655062471,0,"2017/2018"
"71","130260","07",2018,"130260 MANAUS",2145444,0,13,0.6059351817153,0,"2018/2019"
"72","130260","07",2019,"130260 MANAUS",2182763,0,18,0.824642895266229,0,"2019/2020"
"73","130260","07",2020,"130260 MANAUS",2219580,0,34,1.53182133556799,0,"2020/2021"
"74","130260","07",2021,"130260 MANAUS",2255903,0,116,5.14206506219461,0,"2021/2022"
"75","130260","07",2022,"130260 MANAUS",2054731,0,47,2.28740404461703,0,"2022/2023"
"76","130260","07",2023,"130260 MANAUS",2063689,0,5,0.242284569041169,0,"2023/2024"
"77","130260","07",2024,"130260 MANAUS",2279686,0,144,6.31665939958398,0,"2024/2025"
"78","130260","08",2014,"130260 MANAUS",2020301,0,100,4.94975748663194,0,"2014/2015"
"79","130260","08",2015,"130260 MANAUS",2057711,0,64,3.1102521199527,0,"2015/2016"
"80","130260","08",2016,"130260 MANAUS",2094391,0,149,7.1142398912142,0,"2016/2017"
"81","130260","08",2017,"130260 MANAUS",2130264,0,41,1.92464408167251,0,"2017/2018"
"82","130260","08",2018,"130260 MANAUS",2145444,0,23,1.07203916765015,0,"2018/2019"
"83","130260","08",2019,"130260 MANAUS",2182763,0,18,0.824642895266229,0,"2019/2020"
"84","130260","08",2020,"130260 MANAUS",2219580,0,31,1.39666062948846,0,"2020/2021"
"85","130260","08",2021,"130260 MANAUS",2255903,0,122,5.40803394472191,0,"2021/2022"
"86","130260","08",2022,"130260 MANAUS",2054731,0,35,1.70338599067226,0,"2022/2023"
"87","130260","08",2023,"130260 MANAUS",2063689,0,8,0.38765531046587,0,"2023/2024"
"88","130260","08",2024,"130260 MANAUS",2279686,0,112,4.91295731078754,0,"2024/2025"
"89","130260","09",2014,"130260 MANAUS",2020301,0,132,6.53367988235416,0,"2014/2015"
"90","130260","09",2015,"130260 MANAUS",2057711,0,49,2.38128677933879,0,"2015/2016"
"91","130260","09",2016,"130260 MANAUS",2094391,0,213,10.1700207840847,0,"2016/2017"
"92","130260","09",2017,"130260 MANAUS",2130264,0,59,2.76960977606531,0,"2017/2018"
"93","130260","09",2018,"130260 MANAUS",2145444,0,27,1.25848076202408,0,"2018/2019"
"94","130260","09",2019,"130260 MANAUS",2182763,0,5,0.229067470907286,0,"2019/2020"
"95","130260","09",2020,"130260 MANAUS",2219580,0,22,0.991178511249876,0,"2020/2021"
"96","130260","09",2021,"130260 MANAUS",2255903,0,166,7.35847241658883,0,"2021/2022"
"97","130260","09",2022,"130260 MANAUS",2054731,0,36,1.75205416183432,0,"2022/2023"
"98","130260","09",2023,"130260 MANAUS",2063689,0,24,1.16296593139761,0,"2023/2024"
"99","130260","09",2024,"130260 MANAUS",2279686,0,122,5.35161421353643,0,"2024/2025"
"100","130260","10",2014,"130260 MANAUS",2020301,0,93,4.60327446256771,0,"2014/2015"
"101","130260","10",2015,"130260 MANAUS",2057711,0,69,3.35324056682401,0,"2015/2016"
"102","130260","10",2016,"130260 MANAUS",2094391,0,199,9.5015687137693,0,"2016/2017"
"103","130260","10",2017,"130260 MANAUS",2130264,0,61,2.86349485322007,0,"2017/2018"
"104","130260","10",2018,"130260 MANAUS",2145444,0,24,1.11864956624363,0,"2018/2019"
"105","130260","10",2019,"130260 MANAUS",2182763,0,12,0.549761930177486,0,"2019/2020"
"106","130260","10",2020,"130260 MANAUS",2219580,0,37,1.66698204164752,0,"2020/2021"
"107","130260","10",2021,"130260 MANAUS",2255903,0,133,5.89564356268864,0,"2021/2022"
